2025-01-27 23:34:41,059 - bot.scheduler - INFO - WebSocket thread started.
2025-01-27 23:34:41,064 - bot.scheduler - INFO - Signal-sending job scheduled.
2025-01-27 23:34:42,517 - bot.scheduler - INFO - WebSocket connection established.
2025-01-28 23:18:49,735 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100939.3', 'high': '101080', 'low': '100731', 'volume': '556.93', 'turnover': '56219514.6677', 'confirm': False, 'timestamp': 1738102729559}]
2025-01-28 23:18:50,850 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100934.4', 'high': '101080', 'low': '100731', 'volume': '557.054', 'turnover': '56232030.8848', 'confirm': False, 'timestamp': 1738102730560}]
2025-01-28 23:18:51,618 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100925', 'high': '101080', 'low': '100731', 'volume': '557.187', 'turnover': '56245454.3633', 'confirm': False, 'timestamp': 1738102731560}]
2025-01-28 23:18:52,691 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100925', 'high': '101080', 'low': '100731', 'volume': '557.188', 'turnover': '56245555.2883', 'confirm': False, 'timestamp': 1738102732561}]
2025-01-28 23:18:53,619 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100934.4', 'high': '101080', 'low': '100731', 'volume': '558.006', 'turnover': '56328112.1464', 'confirm': False, 'timestamp': 1738102733560}]
2025-01-28 23:18:54,623 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100934.4', 'high': '101080', 'low': '100731', 'volume': '558.216', 'turnover': '56349308.3737', 'confirm': False, 'timestamp': 1738102734559}]
2025-01-28 23:18:55,620 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100934.4', 'high': '101080', 'low': '100731', 'volume': '558.261', 'turnover': '56353850.4218', 'confirm': False, 'timestamp': 1738102735559}]
2025-01-28 23:18:56,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100934.5', 'high': '101080', 'low': '100731', 'volume': '558.262', 'turnover': '56353951.3563', 'confirm': False, 'timestamp': 1738102736559}]
2025-01-28 23:18:57,629 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100934.4', 'high': '101080', 'low': '100731', 'volume': '558.393', 'turnover': '56367173.7672', 'confirm': False, 'timestamp': 1738102737559}]
2025-01-28 23:18:58,679 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100925', 'high': '101080', 'low': '100731', 'volume': '558.618', 'turnover': '56389883.2982', 'confirm': False, 'timestamp': 1738102738560}]
2025-01-28 23:18:59,611 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100916.3', 'high': '101080', 'low': '100731', 'volume': '558.85', 'turnover': '56413297.5121', 'confirm': False, 'timestamp': 1738102739560}]
2025-01-28 23:19:00,625 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100906.1', 'high': '101080', 'low': '100731', 'volume': '558.971', 'turnover': '56425507.73', 'confirm': False, 'timestamp': 1738102740559}]
2025-01-28 23:19:01,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100897.9', 'high': '101080', 'low': '100731', 'volume': '569.571', 'turnover': '57494999.8425', 'confirm': False, 'timestamp': 1738102741559}]
2025-01-28 23:19:02,612 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100872.4', 'high': '101080', 'low': '100731', 'volume': '570.191', 'turnover': '57557542.0328', 'confirm': False, 'timestamp': 1738102742560}]
2025-01-28 23:19:03,615 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100871.2', 'high': '101080', 'low': '100731', 'volume': '570.443', 'turnover': '57582961.8073', 'confirm': False, 'timestamp': 1738102743560}]
2025-01-28 23:19:04,642 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100889.5', 'high': '101080', 'low': '100731', 'volume': '570.741', 'turnover': '57613025.8102', 'confirm': False, 'timestamp': 1738102744559}]
2025-01-28 23:19:05,773 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100889.6', 'high': '101080', 'low': '100731', 'volume': '571.267', 'turnover': '57666093.6874', 'confirm': False, 'timestamp': 1738102745560}]
2025-01-28 23:19:06,622 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100879', 'high': '101080', 'low': '100731', 'volume': '574.251', 'turnover': '57967096.8825', 'confirm': False, 'timestamp': 1738102746560}]
2025-01-28 23:19:07,618 - bot.scheduler - INFO - New candlestick data received: [{'start': 1738102500000, 'end': 1738102799999, 'interval': '5', 'open': '100830.4', 'close': '100888.9', 'high': '101080', 'low': '100731', 'volume': '574.889', 'turnover': '58031460.1842', 'confirm': False, 'timestamp': 1738102747560}]
